review,clean_review,label
kenapa jadi gak ada notifikasinya? ngebug parah,gak notifikasinya ngebug parah,negatif
apk babi . fc gajelas,apk babi fc gajelas,negatif
"wa nga jelas, kemari kena spam Skrang kena pembatasan cht baru. nge jelas amat makin lama makin ribet sudah 3 kali ganti wa kejadian nya kyk gini.sudah lapor pihak WhatsApp malah di persulit disuruh menunggu terus nga di proses dan nga ada bantuan",wa nga kemari kena spam skrang kena pembatasan cht nge ribet kali ganti wa kejadian nya kyk ginisudah lapor whatsapp persulit disuruh menunggu nga proses nga bantuan,negatif
"gak usah ngeblokir WhatsApp saya,saya sudah berkali kali blokir saya tidak tahu apa penyebab nya 🤬",gak ngeblokir whatsapp sayasaya berkali kali blokir penyebab nya,negatif
"kenapa sekarang malah semakin jelek masa saya kirim chat ke kontak suruh save ulang no saya, malah tiba2 akun saya dibatasi. jadi gak bisa ngechat. belum lagi whatsapp sekarang sensitif banget kalau di report orang, malah suka kena ban tanpa alasan jelas.",jelek kirim chat kontak suruh save ulang no akun dibatasi gak ngechat whatsapp sensitif banget report orang suka kena ban alasan,negatif
hp saya sering kenak spam,hp kenak spam,negatif
buat vc ngeleg patah & tiba2 mti sndiri,vc ngeleg patah mti sndiri,negatif
"wa ak knp ya? pesan kok ga ke krim mana mau liat story ga bisa lagi layar nya jadi putih gitu, begitu juga sebaliknya aku mau story tpi foto/video jadi layar putih gituu.. pls it knp ya? ad saran?",wa ak knp ya pesan ga krim liat story ga layar nya putih gitu story tpi fotovideo layar putih gituu pls it knp ya ad saran,negatif
ko akun saya kena bug trus yang tulisan akun anda menggunakan spam trus knpa ya,ko akun kena bug trus tulisan akun spam trus knpa ya,negatif
"sering kenon , pdahal cuma chatan doang",kenon pdahal chatan doang,negatif
Okay,okay,negatif
akun dibelokir tampa alasan yang jelas,akun dibelokir tampa alasan,negatif
kenapa whatsap aku gak bisa,whatsap gak,negatif
Lani puja,lani puja,negatif
tidak salah apa apa tau taunya kena sepam di blok,salah tau taunya kena sepam blok,negatif
"wa kena spam terus, padahal tidak pernah diapain",wa kena spam diapain,negatif
Lelet banget,lelet banget,negatif
"kenapaa tanda sematkan kontak cht wa tbtb ilangg padahal udah disematkan tapi tbtb ilang ngga tersematkan lagii, terus mau ganti notif pribdi dicht orang biar beda beda jugaa kenapa tbtb ganti sendiri lagii bunyi notif e, diulangin ganti lagii ehhh kayaa gitu nanti tbtb ganti sendiri lagii gimanaa ini solusi nyaa🥲🥲 whatsapp tadiii udah nggaa bermasalah tapi sekarang bermasalah lagi aduh gimana sj",kenapaa tanda sematkan kontak cht wa tbtb ilangg udah disematkan tbtb ilang ngga tersematkan lagii ganti notif pribdi dicht orang biar beda beda jugaa tbtb ganti lagii bunyi notif e diulangin ganti lagii ehhh kayaa gitu tbtb ganti lagii gimanaa solusi nyaa whatsapp tadiii udah nggaa bermasalah bermasalah aduh gimana sj,negatif
nggak ngapain2 tapi kena spam,nggak ngapain kena spam,negatif
"Setelah Update,kenapa camera seperti di Zoom. Kita jd susah mau menyesuaikan hasil foto. Krn saat kamera aktif zoom,tpi stlh pemotretan normal. Jd posisi tdk pas sesuai dgn yg d harapkan.",updatekenapa camera zoom jd susah menyesuaikan hasil foto krn kamera aktif zoomtpi stlh pemotretan normal jd posisi tdk pas sesuai dgn yg d harapkan,negatif
sangat jelek WhatsApp nya tidak bisa nerima bug,jelek whatsapp nya nerima bug,negatif
"tambah lemot, kadang panggilan nggk bisa di angkat,mati² sendiri,efek kamera nggk ada padahal udah sering di update",lemot kadang panggilan nggk angkatmati sendiriefek kamera nggk udah update,negatif
"8 kartu tbtb ke blokir sendiri, padahal ga ngapa-ngapain",kartu tbtb blokir ga ngapangapain,negatif
"WhatsApp sekarang semakin nambah fitur semakin aneh, masa gak bisa custom notifikasi buat orang-orang atau grup tertentu seperti dulu",whatsapp nambah fitur aneh gak custom notifikasi orangorang grup,negatif
tolong di perbaiki karna banyak bug sinyal tolol,tolong perbaiki karna bug sinyal tolol,negatif
Entah kenapa sering salah deteksi atau bagaimana namun Whatsapp kadang memblokir akun tanpa alasan yang logis. mohon segera diperbaiki sistemnya,salah deteksi whatsapp kadang memblokir akun alasan logis mohon diperbaiki sistemnya,negatif
"saat bekerja sering terjadi pembatasan akun dan tidak bisa berkomunikasi dengan nomor baru tolong perbaiki sistem,aplikasi semakin hari semakin menjadi jadi semakin rusak rusakkkkk",pembatasan akun berkomunikasi nomor tolong perbaiki sistemaplikasi rusak rusakkkkk,negatif
padahal gw udh pake Whatsapp versi resmi. Masih aja kena blok aneh ni apk . ribettt final boss,gw udh pake whatsapp versi resmi aja kena blok aneh ni apk ribettt final boss,negatif
ok gass,ok gass,negatif
"GAJELAS. wa suka kena spam tanpa sebab!! padahal ga ada yang spam, bahkan nomer saya di blokir sama pihak WhatsApp! ga ada hubungannya saya melanggar aturan/ melakukan hal di luar aturan!!! Saya sudah 3x menggunakan WhatsApp biasa kena spam mulu. kena blokir mulu. Sebelumnya saya menggunakan WhatsApp bisnis tidak pernah seperti ini!!!",gajelas wa suka kena spam ga spam nomer blokir whatsapp ga hubungannya melanggar aturan aturan x whatsapp kena spam mulu kena blokir mulu whatsapp bisnis,negatif
kasih bintang 2 karena wa sering keblokir tanpa sebab dan susah untuk verifikasi,kasih bintang wa keblokir susah verifikasi,negatif
"kenapa tiba-tiba saya diblokir, padahal saya tidak melakukan kesalahan",tibatiba diblokir kesalahan,negatif
bug delay,bug delay,negatif
inii whatsapp gimana dahh padahal jaringan baguss tapii lagg ahh apk tidak bergunaaa,inii whatsapp gimana dahh jaringan baguss tapii lagg ahh apk bergunaaa,negatif
tiba²keblokir dan harus ganti nomor+hapus wa sedih bngt nomor orang satu²hilangg😭😭,tibakeblokir ganti nomorhapus wa sedih bngt nomor orang satuhilangg,negatif
makin jelek ah,jelek ah,negatif
kenapa makin parah ya.bug ny. ga bisa di buka. pas dah bisa di buka kluar lagi.,parah yabug ny ga buka pas dah buka kluar,negatif
bisa berkomunikasi dengan teman walaupun jarak jauh,berkomunikasi teman jarak,negatif
"Ini kenapa setiap bikin story video, video nya suka burem pdahal aslinya hd🙇‍♀️🙇‍♀️",bikin story video video nya suka burem pdahal aslinya hd,negatif
bug tiba tiba ga bisa dipencet sama sekali,bug ga dipencet,negatif
aku beri 3 bintang karna keterlambatan fitur terbaru,bintang karna keterlambatan fitur terbaru,negatif
Gabisa loding,gabisa loding,negatif
"ok susah apa"" dblokir",ok susah dblokir,negatif
kena batas spam terus.,kena batas spam,negatif
ngaco,ngaco,negatif
"wa aku bug ,tolong perbaiki min gw gak bisa vn",wa bug tolong perbaiki min gw gak vn,negatif
Habis update tiap ngalihin akun malah memuat terus mana lama lagi sampe 30 menit.,habis update ngalihin akun memuat sampe menit,negatif
sukak ajj,sukak ajj,negatif
Kok abis update suara vn nya ngebut ya Tolong di perbaiki lagi yaa,abis update suara vn nya ngebut ya tolong perbaiki yaa,negatif
baru daftar sudah di blokir. nomer sudah di sebar langsung keblokir. masak Makai wa GK ada 12jam di blokir. pdhl saya GK pernah pakai apk lain dan GK prnah spam spam. eror dan sangat menyebalkan whastapp ini. buat yg mau download mending jangan. apk ini sudah seperti sampah GK bermutu,daftar blokir nomer sebar langsung keblokir masak makai wa gk jam blokir pdhl gk pakai apk gk prnah spam spam eror menyebalkan whastapp yg download mending apk sampah gk bermutu,negatif
"sangat tidak nyaman , tidak ada notif ketika ada whatsapp ,BUG parah",nyaman notif whatsapp bug parah,negatif
"aplikasi sekarang jelek,, semua data ilang",aplikasi jelek data ilang,negatif
jelek kok wa kadaluarsa tres chat orang jdi hilang semua,jelek wa kadaluarsa tres chat orang jdi hilang,negatif
"setelah di update tambah jelek anjir masa kasih di bio kita gak bisa di perpanjangankan selamanya kasih kata kata habis itu ilang sendiri😔 tolong kembalikan fitur dulu bisa perpanjangankan selamanya tanpa costum dan ilang juga, tolong di perbaiki secepatnya sebelum rating anda di aplikasi tambah jelek terimakasih",update jelek anjir kasih bio gak perpanjangankan kasih habis ilang tolong kembalikan fitur perpanjangankan costum ilang tolong perbaiki secepatnya rating aplikasi jelek terimakasih,negatif
"sekarang lebih bahaya, krna bisa di bajak",bahaya krna bajak,negatif
Mudah2an klu telpon lancar..di update untuk musik nya ilang... bukan sempurna malah Ngk ada.biasa klu buat status tulisan bisa pke Musik Skrang Ngk bisaa.,mudahan klu telpon lancardi update musik nya ilang sempurna ngk adabiasa klu status tulisan pke musik skrang ngk bisaa,negatif
bug resah.... ga ada notif panggilan ditolak malah panggilan tidak dijawab harusnya dibedain pas gw belum paham dikira emng ga dijawab tau nya di tolak mohon di perbaiki,bug resah ga notif panggilan ditolak panggilan dibedain pas gw paham emng ga tau nya tolak mohon perbaiki,negatif
"woy whatsapp, kenapa akun gua tiba-tiba keluar sendiri(log out) padahal gua kaga ngapa-ngapain cuman diem, taunya udah log out sendiri capek gua harus login ulang, benerin lah",woy whatsapp akun gua tibatiba sendirilog out gua kaga ngapangapain cuman diem taunya udah log out capek gua login ulang benerin,negatif
wa saya kena pelabggaran spam terus padahal gak spam aneh lagi buat wa terus chatan nalah jena oelabggaran spam aneh duperbaiki tolong secepatnya,wa kena pelabggaran spam gak spam aneh wa chatan nalah jena oelabggaran spam aneh duperbaiki tolong secepatnya,negatif
apaan coba kena log out mulu emang wa anjj setiap hari kena Mulu anj banget emang,coba kena log out mulu emang wa anjj kena mulu anj banget emang,negatif
whatsaap ku gk muncul d hp ku,whatsaap ku gk muncul d hp ku,negatif
costum buat di bio nya ilangin donggg! semakin kesini semakin g jelas gni!,costum bio nya ilangin donggg kesini g gni,negatif
"kenapa ya ""tentang"" sekarang ndak bisa tampil penuh seperti dulu? lebih suka yang dulu dari pada yang sekarang",ya ndak tampil penuh suka,negatif
pin chat di benerin tolong woy,pin chat benerin tolong woy,negatif
tolng diperbaiki dulu w.a masak setahun bisa 3x apdet,tolng diperbaiki wa masak setahun x apdet,negatif
watsab sekarang makin payah mbnya makin besar sampai 1G lebih tapi mafaatnya tetap sama saya kecewa dg aplikasi dobol ini menghabiskan ruang internal saya,watsab payah mbnya g mafaatnya kecewa dg aplikasi dobol menghabiskan ruang internal,negatif
